Time (s),Waist Acceleration,Chest Acceleration,Left Ankle Acceleration,right Ankle Acceleration,EMG_magnitude_left,EMG_magnitude_right,left wrist Acceleration,right wrist Acceleration,left wrist electrodermal,right wrist electrodermal,left wrist Temperature,right wrist Temperature,VO2,Breath Frequency,Minute Ventilation,SpO2,Heart Rate,Energy expenditures (W/kg) ,Activity Code
360.0078122,9.921414833,9.934124383,9.794338608,9.954776414,0.098590105,0.107974908,9.779581806,9.779581806,0.071874524,0.142528902,35.32729985,36.72006465,5.418810493,17,11,100,89,1.314074935,1
361.0078122,9.926439736,9.946532263,9.843831555,10.01982389,0.103897669,0.121368753,9.765080852,9.765080852,0.071857916,0.142546853,35.32575617,36.72197863,11.33870541,21,21,99,90,1.314074935,1
362.0078122,9.935947329,9.969768059,9.9668552,10.15042193,0.112752643,0.143212087,9.771434189,9.771434189,0.071842949,0.142569733,35.32393154,36.72353218,11.33870541,21,21,99,90,1.314074935,1
363.0078122,9.948740276,10.00207735,10.19101641,10.34594483,0.124518313,0.170644761,9.787449236,9.787449236,0.071835089,0.142589912,35.32177242,36.72507933,11.33870541,21,21,99,90,1.314074935,1
364.0078122,9.96186977,10.03468721,10.48391995,10.56034334,0.13713641,0.197666632,9.797701335,9.797701335,0.071827725,0.142613108,35.31929958,36.72651878,11.3540871,21,21,99,90,1.314074935,1
365.0078122,9.972166103,10.05678825,10.74252948,10.7289158,0.148865118,0.217880831,9.798909549,9.798909549,0.071825414,0.142635111,35.31670523,36.72789527,11.3540871,21,21,99,90,1.314074935,1
366.0078122,9.977254442,10.06364648,10.87359939,10.82402309,0.159139739,0.227884827,9.797035867,9.797035867,0.071823011,0.142659862,35.31362787,36.72894962,11.3540871,21,21,99,90,1.314074935,1
367.0078122,9.977658262,10.06027689,10.87902833,10.86397798,0.167892648,0.228676072,9.795528345,9.795528345,0.071826863,0.142686598,35.31037602,36.72984405,11.38480212,21,21,99,90,1.314074935,1
368.0078122,9.976174622,10.0561116,10.82945065,10.87600986,0.174692089,0.223992325,9.791413714,9.791413714,0.071832427,0.142710879,35.3067549,36.7305225,11.38480212,21,21,99,90,1.314074935,1
369.0078122,9.974610943,10.05511062,10.78546945,10.87781164,0.179073781,0.217426839,9.782651046,9.782651046,0.07183754,0.142730798,35.3028424,36.73100265,11.43050445,21,21,99,90,1.314074935,1
