Time (s),Waist Acceleration,Chest Acceleration,Left Ankle Acceleration,right Ankle Acceleration,EMG_magnitude_left,EMG_magnitude_right,left wrist Acceleration,right wrist Acceleration,left wrist electrodermal,right wrist electrodermal,left wrist Temperature,right wrist Temperature,VO2,Breath Frequency,Minute Ventilation,SpO2,Heart Rate,Energy expenditures (W/kg) ,Activity Code
360.0078122,9.882183664,9.899293515,9.864823372,10.03576227,0.1455401,0.101008975,9.781590526,9.781590526,0.586640172,0.325180016,34.21965169,36.41146798,4.12601052,10,9,100,82,2.131293021,2
361.0078122,9.884048405,9.921103257,10.00201566,10.19459785,0.169432743,0.114352427,9.806234724,9.806234724,0.587017093,0.324745809,34.2233164,36.40737421,4.12601052,10,9,100,82,2.131293021,2
362.0078122,9.890159877,9.962685452,10.27428274,10.48614591,0.19349225,0.131254102,9.87323489,9.87323489,0.587386,0.324309138,34.22667366,36.40261593,8.763636837,20,19,99,89,2.131293021,2
363.0078122,9.901722994,10.02750483,10.69370498,10.903073,0.215787482,0.150854899,9.959085427,9.959085427,0.587752819,0.323870866,34.22965523,36.39726944,8.763636837,20,19,99,89,2.131293021,2
364.0078122,9.91678438,10.10264016,11.18700256,11.35902082,0.235157263,0.171181122,10.03998433,10.03998433,0.588110669,0.323430864,34.23228653,36.39131545,8.763636837,20,19,99,89,2.131293021,2
365.0078122,9.931677972,10.16651406,11.62689036,11.72606571,0.251132817,0.18985147,10.10447273,10.10447273,0.588461162,0.322989541,34.23439541,36.38480876,8.783857746,20,19,99,89,2.131293021,2
366.0078122,9.942523669,10.20568127,11.92377539,11.93712554,0.263710471,0.204986566,10.14793047,10.14793047,0.588807391,0.322551709,34.23599019,36.37757227,8.783857746,20,19,99,89,2.131293021,2
367.0078122,9.947486699,10.22070137,12.06963448,12.03955458,0.273266538,0.215645643,10.16325761,10.16325761,0.589162717,0.32211454,34.237215,36.3697013,8.822775251,20,18,99,89,2.131293021,2
368.0078122,9.947573939,10.21836138,12.09386725,12.11412632,0.280300236,0.221820715,10.14851926,10.14851926,0.589538296,0.321680617,34.23795222,36.36156323,8.822775251,20,18,99,89,2.131293021,2
369.0078122,9.944655754,10.20649141,12.0287596,12.17822699,0.284937981,0.224250086,10.11844145,10.11844145,0.589912933,0.32125255,34.2382117,36.35285744,8.822775251,20,18,99,89,2.131293021,2
370.0078122,9.940737515,10.19443049,11.93145749,12.20661517,0.286835947,0.224090807,10.09669725,10.09669725,0.590277327,0.320831123,34.23787956,36.34350908,8.822775251,20,18,99,89,2.131293021,2
371.0078122,9.938175049,10.18863953,11.8782162,12.19989846,0.285818507,0.222495348,10.09872252,10.09872252,0.590632239,0.320422837,34.23711216,36.33373569,8.877406745,20,18,99,89,2.131293021,2
372.0078122,9.937830947,10.18753796,11.90816311,12.1879611,0.282487487,0.220301939,10.12466122,10.12466122,0.590996349,0.320019784,34.23581105,36.32342288,8.877406745,20,18,99,89,2.131293021,2
373.0078122,9.938305214,10.18612421,11.99844083,12.19323363,0.277998899,0.218030413,10.16281314,10.16281314,0.591360818,0.3196233,34.2340191,36.31272797,8.877406745,20,18,99,89,2.131293021,2
374.0078122,9.938650301,10.18327329,12.09713016,12.21821309,0.273314917,0.216077033,10.19533444,10.19533444,0.591727019,0.319230085,34.23163232,36.30160086,8.877406745,20,18,99,89,2.131293021,2
375.0078122,9.93995377,10.18073395,12.16648116,12.24699675,0.268863047,0.214910121,10.20898287,10.20898287,0.592127647,0.318746277,34.2287259,36.28987796,8.943458386,20,18,99,89,2.131293021,2
376.0078122,9.943140664,10.1805074,12.20008856,12.24991815,0.264810779,0.215038524,10.20540347,10.20540347,0.592565387,0.318301912,34.22533284,36.27784215,8.943458386,20,18,99,89,2.131293021,2
377.0078122,9.947092925,10.18495761,12.20807511,12.21010345,0.261387677,0.216702357,10.19401879,10.19401879,0.592991228,0.317862397,34.22147341,36.26542633,8.943458386,20,18,99,89,2.131293021,2
378.0078122,9.949859661,10.1931085,12.19415941,12.14434212,0.258813236,0.219519795,10.17979209,10.17979209,0.593419574,0.317425223,34.21714318,36.25278713,9.015576136,20,18,99,89,2.131293021,2
379.0078122,9.950601744,10.20005647,12.16185713,12.08761307,0.256998354,0.222465771,10.16813229,10.16813229,0.593850677,0.316994,34.21240385,36.23983944,9.015576136,20,18,99,89,2.131293021,2
380.0078122,9.949901733,10.20355845,12.12932244,12.06583235,0.255468328,0.224328092,10.16915664,10.16915664,0.594289554,0.316560918,34.20720068,36.22665393,9.015576136,20,18,99,89,2.131293021,2
