Time (s),Waist Acceleration,Chest Acceleration,Left Ankle Acceleration,right Ankle Acceleration,EMG_magnitude_left,EMG_magnitude_right,left wrist Acceleration,right wrist Acceleration,left wrist electrodermal,right wrist electrodermal,left wrist Temperature,right wrist Temperature,VO2,Breath Frequency,Minute Ventilation,SpO2,Heart Rate,Energy expenditures (W/kg) ,Activity Code
360.0078122,9.844370269,9.850358545,9.774042391,9.927260676,0.233018403,0.144707848,9.757638286,9.757638286,0.780261181,2.495682745,35.7916584,36.67512865,11.11442372,18,16,99,83,3.599805388,3
361.0078122,9.846397679,9.846334657,9.773178682,9.927804249,0.239701823,0.149152016,9.757612819,9.757612819,0.780837825,2.517142689,35.79197203,36.67456232,11.11442372,18,16,99,83,3.599805388,3
362.0078122,9.848871538,9.843770272,9.774874164,9.928811548,0.247618018,0.158804271,9.764529389,9.764529389,0.78137219,2.538584744,35.79247716,36.67393497,11.11442372,18,16,99,83,3.599805388,3
363.0078122,9.850606851,9.843792081,9.788544593,9.93642731,0.257470655,0.172431078,9.785500215,9.785500215,0.781890352,2.559986434,35.79293177,36.6730808,11.31365023,18,16,99,83,3.599805388,3
364.0078122,9.853133452,9.848297412,9.839112188,9.971625538,0.268973474,0.18845981,9.826978101,9.826978101,0.78237875,2.581478551,35.79322504,36.67210501,11.31365023,18,16,99,83,3.599805388,3
365.0078122,9.861055069,9.860195442,9.966807677,10.08239543,0.281822144,0.205872001,9.890232553,9.890232553,0.782852044,2.603050197,35.7935448,36.67095646,11.31365023,18,16,99,83,3.599805388,3
366.0078122,9.875926053,9.881633816,10.20408275,10.3278141,0.296305398,0.224561626,9.9680217,9.9680217,0.783305709,2.624734208,35.79377706,36.66967984,11.31365023,18,16,99,83,3.599805388,3
367.0078122,9.893838954,9.911744932,10.55516975,10.72771087,0.312670904,0.244734836,10.045426,10.045426,0.783757475,2.646355162,35.79398627,36.66837446,11.69623157,18,17,99,83,3.599805388,3
368.0078122,9.909116165,9.948119747,11.01541754,11.26020052,0.329843464,0.265795605,10.10707397,10.10707397,0.7841949,2.667828614,35.79411219,36.66695576,11.69623157,18,17,99,83,3.599805388,3
369.0078122,9.919739027,9.9908479,11.59984425,11.92492259,0.345166345,0.28581737,10.14546264,10.14546264,0.784617727,2.689213299,35.7943621,36.66537394,11.69623157,18,17,99,83,3.599805388,3
370.0078122,9.927582404,10.04084399,12.31303392,12.71847948,0.355951607,0.302241433,10.16155751,10.16155751,0.785033397,2.710661998,35.79446699,36.66361072,12.23234783,18,17,99,84,3.599805388,3
371.0078122,9.934064546,10.09409145,13.07436488,13.52028714,0.36156487,0.313199709,10.16199137,10.16199137,0.785432648,2.731972819,35.79472045,36.6618452,12.23234783,18,17,99,84,3.599805388,3
372.0078122,9.939392162,10.1414445,13.71302388,14.11126444,0.364096896,0.318381706,10.15759852,10.15759852,0.785849812,2.753315227,35.79502768,36.65996334,12.23234783,18,17,99,84,3.599805388,3
373.0078122,9.944301599,10.17399878,14.08227306,14.35091152,0.366995791,0.318928249,10.15689474,10.15689474,0.786275454,2.775552975,35.79505562,36.6578102,12.88179227,18,18,99,85,3.599805388,3
374.0078122,9.948791873,10.19001021,14.18215388,14.30342459,0.372822894,0.317002748,10.15920873,10.15920873,0.786695642,2.797436007,35.79511066,36.65539064,12.88179227,18,18,99,85,3.599805388,3
375.0078122,9.951195617,10.19713788,14.14902485,14.1779888,0.381549811,0.315066909,10.15838725,10.15838725,0.787141455,2.818354221,35.79513058,36.65306458,12.88179227,18,18,99,85,3.599805388,3
376.0078122,9.950215318,10.20326346,14.11265341,14.1484271,0.390585606,0.314859474,10.1492508,10.1492508,0.787593169,2.83857842,35.79516841,36.65045258,13.59864579,18,19,99,85,3.599805388,3
377.0078122,9.946848142,10.20787384,14.09987544,14.24744906,0.396649107,0.316544441,10.1305839,10.1305839,0.787879619,2.857654992,35.79525345,36.64788624,13.59864579,18,19,99,85,3.599805388,3
378.0078122,9.944414252,10.207386,14.08641042,14.41178066,0.398024696,0.318868265,10.10692008,10.10692008,0.788134773,2.876082051,35.79535455,36.64522738,13.59864579,18,19,99,85,3.599805388,3
379.0078122,9.945876485,10.20207869,14.07382454,14.55499696,0.395252401,0.320364391,10.08343622,10.08343622,0.788410941,2.894307902,35.79546441,36.64244586,14.33638601,18,19,99,86,3.599805388,3
380.0078122,9.949827889,10.19364432,14.09398766,14.59773261,0.389977625,0.320622248,10.0610711,10.0610711,0.788752651,2.911682619,35.7953847,36.63946794,14.33638601,18,19,99,86,3.599805388,3
381.0078122,9.951205064,10.1827792,14.16779796,14.51214823,0.383545942,0.320546547,10.0410773,10.0410773,0.789185728,2.928069116,35.79539426,36.636267,14.33638601,18,19,99,86,3.599805388,3
382.0078122,9.947020947,10.17149434,14.25973667,14.36404218,0.376743549,0.321320463,10.02678663,10.02678663,0.789646275,2.944102521,35.79534669,36.6331123,15.05270747,18,20,99,87,3.599805388,3
383.0078122,9.939575756,10.16457164,14.29516467,14.27192665,0.370476625,0.322919152,10.01774103,10.01774103,0.790126623,2.959925371,35.79541064,36.62985563,15.05270747,18,20,99,87,3.599805388,3
384.0078122,9.933940546,10.16642894,14.24579642,14.29904042,0.36615345,0.323694065,10.00795861,10.00795861,0.790609449,2.975301785,35.79562717,36.62647591,15.05270747,18,20,99,87,3.599805388,3
385.0078122,9.933503955,10.17534337,14.16247447,14.39072999,0.365005918,0.321715219,9.993217885,9.993217885,0.791110367,2.990055332,35.79573374,36.62300985,15.71340151,18,21,99,88,3.599805388,3
386.0078122,9.937709725,10.18368669,14.10901422,14.44970465,0.367004219,0.316591433,9.978043881,9.978043881,0.791630305,3.004110906,35.79577318,36.61931485,15.71340151,18,21,99,88,3.599805388,3
387.0078122,9.942925039,10.18569381,14.08902346,14.44441023,0.370462123,0.309810311,9.970794839,9.970794839,0.792149233,3.017473825,35.79572515,36.61561022,15.71340151,18,21,99,88,3.599805388,3
388.0078122,9.945891848,10.18204112,14.05516088,14.3959818,0.372844281,0.303316442,9.971343722,9.971343722,0.792674655,3.029964702,35.79568254,36.61184623,15.71340151,18,21,99,88,3.599805388,3
389.0078122,9.946358591,10.17703952,13.98907873,14.3306484,0.372120583,0.298065335,9.970826585,9.970826585,0.793215742,3.041332631,35.79572772,36.60803558,16.29482031,19,21,99,89,3.599805388,3
390.0078122,9.945853681,10.17500432,13.93592298,14.28345059,0.367789994,0.293945656,9.965633114,9.965633114,0.793769977,3.05200773,35.79568247,36.60401786,16.29482031,19,21,99,89,3.599805388,3
