Time (s),Waist Acceleration,Chest Acceleration,Left Ankle Acceleration,right Ankle Acceleration,EMG_magnitude_left,EMG_magnitude_right,left wrist Acceleration,right wrist Acceleration,left wrist electrodermal,right wrist electrodermal,left wrist Temperature,right wrist Temperature,VO2,Breath Frequency,Minute Ventilation,SpO2,Heart Rate,Energy expenditures (W/kg) ,Activity Code
360.0078122,9.941752661,9.989059034,11.45334125,11.52863809,0.338596337,0.289877993,9.848033436,9.848033436,0.309932557,0.381506483,33.11678263,32.66902169,7.63568375,21,12,99,96,2.639605855,2
361.0078122,9.945718456,10.00887848,11.76059322,11.78558105,0.356228304,0.302934554,9.849173906,9.849173906,0.309911712,0.381438988,33.10425285,32.66853059,7.63568375,21,12,99,96,2.639605855,2
362.0078122,9.946424894,10.02082911,11.98546044,11.94080803,0.364904127,0.311583395,9.851648371,9.851648371,0.30988936,0.38136814,33.09184914,32.6680097,7.780784501,21,12,99,97,2.639605855,2
363.0078122,9.946290973,10.02683848,12.10090223,12.02695872,0.365548287,0.316818917,9.854022367,9.854022367,0.309872879,0.381295494,33.07979796,32.6674623,7.780784501,21,12,99,97,2.639605855,2
364.0078122,9.946573708,10.03101446,12.11438961,12.06591162,0.360290118,0.318940264,9.853892616,9.853892616,0.309855624,0.381219044,33.06784673,32.6670273,8.058119806,21,13,99,97,2.639605855,2
365.0078122,9.946500161,10.03524069,12.06233762,12.08143357,0.351624431,0.317903027,9.84932363,9.84932363,0.30984075,0.381141898,33.05601435,32.66660153,8.058119806,21,13,99,97,2.639605855,2
366.0078122,9.9455191,10.03849129,11.98603456,12.09826347,0.341923552,0.314099574,9.84081562,9.84081562,0.309824482,0.381059655,33.04443585,32.66618618,8.058119806,21,13,99,97,2.639605855,2
367.0078122,9.944699297,10.03934998,11.92319709,12.11220116,0.333493391,0.308884259,9.832805716,9.832805716,0.309807846,0.380974328,33.03303431,32.66578232,8.443945239,21,13,99,98,2.639605855,2
368.0078122,9.945028639,10.03895733,11.90074918,12.11147572,0.32837551,0.304167664,9.829845669,9.829845669,0.309787012,0.380887002,33.02192443,32.6653353,8.443945239,21,13,99,98,2.639605855,2
369.0078122,9.945557007,10.04096516,11.91990228,12.11734188,0.32748999,0.301244474,9.831070084,9.831070084,0.309767806,0.380799133,33.01099972,32.66484135,8.443945239,21,13,99,98,2.639605855,2
