Time (s),Waist Acceleration,Chest Acceleration,Left Ankle Acceleration,right Ankle Acceleration,EMG_magnitude_left,EMG_magnitude_right,left wrist Acceleration,right wrist Acceleration,left wrist electrodermal,right wrist electrodermal,left wrist Temperature,right wrist Temperature,VO2,Breath Frequency,Minute Ventilation,SpO2,Heart Rate,Energy expenditures (W/kg) ,Activity Code
360.0078122,9.891537809,9.871552837,10.01366941,10.08515964,0.133257299,0.146227539,9.852432941,9.852432941,0.238149699,0.25792152,34.69558483,35.55291819,8.452638218,16,13,99,78,1.729034719,2
361.0078122,9.897982471,9.899533941,10.20090638,10.27385302,0.144414729,0.169380394,9.904046954,9.904046954,0.238117139,0.257911065,34.69473127,35.55178183,8.452638218,16,13,99,78,1.729034719,2
362.0078122,9.907387876,9.94618198,10.51623971,10.56341658,0.153317272,0.188310345,9.961704154,9.961704154,0.23808313,0.257899843,34.69381861,35.55063177,8.452638218,16,13,99,78,1.729034719,2
363.0078122,9.920720568,10.00685499,10.96146932,10.95091474,0.158226799,0.200844932,10.01450413,10.01450413,0.238044353,0.257890665,34.69294314,35.54960835,8.64045859,16,14,99,78,1.729034719,2
364.0078122,9.936935847,10.06824523,11.42384658,11.39092455,0.159079292,0.207290291,10.05405433,10.05405433,0.238006074,0.257877202,34.69199214,35.54850904,8.64045859,16,14,99,78,1.729034719,2
365.0078122,9.95198987,10.11878401,11.7742416,11.79615092,0.157464867,0.208979381,10.07837324,10.07837324,0.237968438,0.257860475,34.69094764,35.54734391,8.64045859,16,14,99,78,1.729034719,2
366.0078122,9.961339343,10.15452447,11.99023577,12.09019169,0.15542828,0.207244776,10.08648271,10.08648271,0.237930206,0.25784313,34.689905,35.54614184,8.942285074,15,14,99,79,1.729034719,2
367.0078122,9.963138544,10.17589574,12.12735869,12.25812899,0.154370686,0.203158444,10.08015843,10.08015843,0.237892171,0.257825554,34.68894903,35.54498868,8.942285074,15,14,99,79,1.729034719,2
368.0078122,9.95871183,10.18221415,12.22147123,12.33806403,0.154751891,0.197628484,10.07034435,10.07034435,0.23784958,0.25780746,34.68813564,35.54403823,8.942285074,15,14,99,79,1.729034719,2
369.0078122,9.951427762,10.17408899,12.26741974,12.37486789,0.156316041,0.191656627,10.06879687,10.06879687,0.237804829,0.257791765,34.68735637,35.54288882,8.942285074,15,14,99,79,1.729034719,2
370.0078122,9.945142562,10.16000155,12.25740412,12.38489094,0.158453544,0.186495944,10.07367899,10.07367899,0.237765253,0.257781489,34.68631333,35.54183779,8.942285074,15,14,99,79,1.729034719,2
371.0078122,9.942261709,10.15177999,12.20825707,12.35548775,0.160539693,0.183371777,10.0730201,10.0730201,0.237724518,0.257766715,34.68533618,35.54057996,9.25007658,14,14,99,80,1.729034719,2
372.0078122,9.942846065,10.15347308,12.15473922,12.28126391,0.162149387,0.182831286,10.05863901,10.05863901,0.23768121,0.257757776,34.68429998,35.5392463,9.25007658,14,14,99,80,1.729034719,2
373.0078122,9.945020402,10.15923617,12.12146148,12.18844126,0.163103311,0.184301829,10.03238836,10.03238836,0.237641524,0.257746496,34.68348631,35.53790158,9.25007658,14,14,99,80,1.729034719,2
374.0078122,9.946145312,10.1620826,12.11149745,12.1086015,0.163500108,0.186295019,10.00390062,10.00390062,0.237599652,0.257738541,34.68261288,35.5366101,9.25007658,14,14,99,80,1.729034719,2
375.0078122,9.945174879,10.16211519,12.12030759,12.05703879,0.163703635,0.187278336,9.980026092,9.980026092,0.237558917,0.257734415,34.68166144,35.53532165,9.25007658,14,14,99,80,1.729034719,2
376.0078122,9.943792267,10.16253571,12.13665808,12.04713431,0.164198279,0.186574884,9.957200868,9.957200868,0.237517522,0.257726708,34.68086877,35.53404874,9.25007658,14,14,99,80,1.729034719,2
