Time (s),Waist Acceleration,Chest Acceleration,Left Ankle Acceleration,right Ankle Acceleration,EMG_magnitude_left,EMG_magnitude_right,left wrist Acceleration,right wrist Acceleration,left wrist electrodermal,right wrist electrodermal,left wrist Temperature,right wrist Temperature,VO2,Breath Frequency,Minute Ventilation,SpO2,Heart Rate,Energy expenditures (W/kg) ,Activity Code
360,9.881434087,9.907992655,10.37697318,10.5563828,0.236834666,0.218084094,9.77037023,9.77037023,0.154150865,0.123130313,32.5720055,33.11841799,6.595555346,18,12,100,79,1.88987581,1
361,9.893782941,9.935136662,10.82569179,10.89003804,0.257190947,0.233938493,9.78778357,9.78778357,0.154169689,0.123168882,32.5714547,33.11745584,6.595555346,18,12,100,79,1.88987581,1
362,9.906330873,9.967682826,11.34503224,11.29126893,0.275077577,0.244958366,9.793522234,9.793522234,0.154184362,0.123205464,32.57082898,33.11654411,10.76507785,21,19,100,87,1.88987581,1
363,9.917097748,9.999778439,11.83069403,11.73517771,0.288367501,0.251886632,9.787375519,9.787375519,0.154201157,0.123245426,32.5702205,33.1157034,10.76507785,21,19,100,87,1.88987581,1
364,9.923103867,10.02450243,12.16650741,12.13230225,0.296400293,0.255063181,9.774731394,9.774731394,0.154212463,0.12328465,32.56964552,33.11489003,10.76507785,21,19,100,87,1.88987581,1
365,9.923267709,10.03895231,12.31156733,12.38420787,0.30002702,0.254713577,9.764255572,9.764255572,0.154220983,0.123322986,32.56904438,33.11409798,10.77606575,21,19,100,88,1.88987581,1
366,9.920318217,10.0460003,12.33310238,12.4662076,0.300933862,0.251621624,9.759617956,9.759617956,0.154232539,0.123356166,32.5684958,33.11335787,10.77606575,21,19,100,88,1.88987581,1
367,9.918228623,10.05002543,12.32204435,12.43940268,0.300779008,0.247280121,9.7575646,9.7575646,0.154243844,0.12339016,32.56793454,33.1125865,10.79815778,21,19,100,88,1.88987581,1
368,9.918308691,10.05277577,12.31956589,12.3857426,0.3006743,0.243400754,9.754535109,9.754535109,0.154252382,0.123423031,32.5674152,33.11179597,10.79815778,21,19,100,88,1.88987581,1
369,9.918983695,10.05376059,12.33136085,12.34358786,0.301228455,0.241221861,9.751570811,9.751570811,0.154258389,0.123456454,32.56686005,33.11114347,10.79815778,21,19,100,88,1.88987581,1
370,9.918805771,10.05237625,12.35600316,12.31043487,0.302919591,0.241073542,9.751976907,9.751976907,0.154259856,0.123488933,32.56630448,33.110561,10.83132777,21,18,100,88,1.88987581,1
371,9.918096242,10.04944929,12.38435914,12.29207893,0.30624794,0.242398201,9.756189902,9.756189902,0.154262899,0.12351716,32.56570805,33.11003846,10.83132777,21,18,100,88,1.88987581,1
372,9.917549036,10.04701721,12.39849266,12.31181955,0.311304375,0.244226517,9.761587579,9.761587579,0.154261652,0.123547969,32.56515663,33.10960826,10.83132777,21,18,100,88,1.88987581,1
373,9.916996283,10.04639103,12.38574489,12.3619474,0.317114769,0.245889822,9.767074615,9.767074615,0.154257404,0.123575661,32.56456662,33.10920448,10.87499528,21,18,100,89,1.88987581,1
374,9.916223771,10.04777008,12.36375074,12.40176158,0.321815273,0.24748406,9.773935938,9.773935938,0.154254627,0.123602484,32.56399988,33.10869432,10.87499528,21,18,100,89,1.88987581,1
375,9.915490501,10.05070359,12.37240719,12.42346721,0.323829759,0.249545929,9.782778593,9.782778593,0.154247019,0.123629414,32.56340375,33.10824247,10.87499528,21,18,100,89,1.88987581,1
376,9.914824069,10.05318637,12.41615509,12.45736967,0.322940669,0.252210033,9.792934577,9.792934577,0.154240398,0.123652608,32.56281455,33.10787923,10.92763301,21,18,100,89,1.88987581,1
377,9.914128473,10.05278134,12.44796418,12.50738204,0.320177427,0.254815828,9.802351353,9.802351353,0.154229036,0.123670639,32.56229662,33.10751728,10.92763301,21,18,100,89,1.88987581,1
378,9.913743734,10.04952636,12.43353531,12.54303526,0.31686469,0.256443573,9.806366663,9.806366663,0.154217901,0.123692238,32.56171397,33.10706699,10.92763301,21,18,100,89,1.88987581,1
379,9.913868238,10.04541804,12.39452747,12.55258054,0.313919432,0.256760196,9.800746471,9.800746471,0.154204963,0.123710001,32.56111342,33.10668407,10.98656979,20,18,100,90,1.88987581,1
